Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID
26219,73746,1984-01-01,1984-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30793
26220,73747,1983-12-25,1984-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30794
26221,73748,1984-01-01,1984-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30795
26222,73749,1984-12-25,1985-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30796
26224,73751,1985-12-25,1986-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30798
26225,73752,1985-12-25,1986-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30799
26226,73753,1986-12-25,1987-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30800
26227,73754,1987-01-01,1987-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30801
26228,73755,1989-01-01,1989-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30802
26229,73756,1989-01-01,1989-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30803
26230,73757,1990-03-13,1990-11-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30804
26231,73758,1991-08-25,1991-09-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30805
26232,73759,1991-12-25,1992-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30806
26234,73761,1992-12-25,1993-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30808
26235,73762,1993-10-01,1994-09-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30809
26238,73765,1994-12-25,1995-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30812
26240,73767,1998-09-23,1998-09-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30814
26241,73768,1998-06-01,1999-09-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30815
26242,73769,1998-09-23,1998-09-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30816
26244,73771,1999-01-01,1999-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30818
26245,73772,1998-12-25,1999-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30819
26246,73773,1999-01-01,1999-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30820
26248,73775,1999-12-25,2000-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30822
26249,73776,2000-10-01,2001-09-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30823
26251,73778,2001-12-25,2002-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30825
26252,73779,2002-01-01,2002-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30826
26253,73780,2002-05-10,2002-05-17,Prescribed Burn,Prescribed Burn,Prescribed Burn,30827
26255,73782,2003-04-08,2003-04-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30829
26257,73784,2003-10-08,2003-10-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30831
26258,73785,2003-12-25,2004-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30832
