ORIG_OID,OVERLAP_OID,ProjectKey,PrimaryKey,DateVisited
43047,41372,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1310_V12022-09-01,2022-06-01
43048,37944,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1311_V12022-09-01,2022-07-14
43049,39584,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1314_V12022-09-01,2022-06-03
43050,34417,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1315_V12022-09-01,2022-07-29
43051,34466,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1316_V12022-09-01,2022-07-30
43052,37800,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1317_V12022-09-01,2022-08-13
43053,35591,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1321_V12022-09-01,2022-07-29
43054,39157,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1322_V12022-09-01,2022-07-29
43055,36696,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1324_V12022-09-01,2022-07-17
43056,35418,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1331_V12022-09-01,2022-07-18
43057,38735,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1339_V12022-09-01,2022-07-14
43058,33507,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1341_V12022-09-01,2022-08-11
43059,36197,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1343_V12023-09-01,2023-06-08
43060,32405,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1345_V12023-09-01,2023-06-23
43061,31147,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1348_V12023-09-01,2023-05-29
43062,40543,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1350_V12023-09-01,2023-06-23
43063,35448,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1351_V12023-09-01,2023-06-26
43064,31999,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1353_V12023-09-01,2023-07-08
43065,36767,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1354_V12023-09-01,2023-06-11
43066,38660,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1355_V12023-09-01,2023-06-11
43067,34086,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1357_V12023-09-01,2023-06-10
43068,34478,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1363_V12023-09-01,2023-07-11
43069,30694,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1364_V12023-09-01,2023-07-25
43070,33838,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1368_V12023-09-01,2023-06-25
43071,38466,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1372_V12023-09-01,2023-08-04
43072,31803,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1376_V12023-09-01,2023-07-20
