LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
45184,13061811170717502013-09-01,5972,17966
45243,13061807551547202013-09-01,5972,17966
45326,13061715214526122013-09-01,5972,17966
9073,17062909591630162017-09-01,5980,17987
53588,18062810303919722018-09-01,5990,60612
53663,19071410355045662019-09-01,5990,60612
40358,15081416242171612015-09-01,5993,18010
40359,CA_NCDO_LUP_2019_SandCreek224_V22022-09-01,5993,18010
29451,12090617281776672014-09-01,6045,18144
29584,11112107551235572013-09-01,6045,18144
23367,CO_CO_Kremmling_Field_Office_Watersheds_2021_MR-001_V12021-09-01,6073,18217
23369,CO_KFO_INT_2021_MR-001_V12023-09-01,6073,18217
23481,18071112184782022018-09-01,6073,18217
23482,CO_CO_Kremmling_Field_Office_LUP_2021_KFO2021-002_V22021-09-01,6073,18217
37663,11042011521064682011-09-01,6091,18249
37688,11042011514218042011-09-01,6091,18249
37827,11042011500450702011-09-01,6091,18249
37846,11042011504127412011-09-01,6091,18249
37663,11042011521064682011-09-01,6092,18250
37688,11042011514218042011-09-01,6092,18250
37827,11042011500450702011-09-01,6092,18250
37846,11042011504127412011-09-01,6092,18250
486,NM_LasCrucesTriCounty_2017_LOO_313_V12020-09-01,6093,18283
7255,NM_FFO_LUP_2020_LOAM-225_V12023-09-01,6094,18289
40154,ID_BurleyFOOBGADeepCreek2020_0400308-47_V12020-09-01,6105,18341
40177,ID_BUFO_LUP_2021_SEED_NR_006_V12022-09-01,6105,18341
40186,20053109020183912020-09-01,6107,18349
40482,ID_BurleyFOOBGADeepCreek2020_0400202-51_V12020-09-01,6107,18349
40585,ID_BurleyFOOBGADeepCreek2020_0400201-35_V12020-09-01,6107,18349
40605,ID_BUFO_LUP_2021_SEED-105_V12023-09-01,6107,18349
14479,UT_CCFO_LUP_2017_MS_224_V12022-09-01,6122,18399
14479,UT_CCFO_LUP_2017_MS_224_V12022-09-01,6123,18400
14479,UT_CCFO_LUP_2017_MS_224_V12022-09-01,6124,18401
58609,2012305030301B1,6143,18467
16596,16082308170949082016-09-01,6144,18470
12251,17080908361663982017-09-01,6145,18471
12251,17080908361663982017-09-01,6146,18472
39845,20193231105913B1,6150,18483
39858,CA_NCDO_LUP_2019_NORCALRV1398_V12023-09-01,6150,18483
39870,20193231105913B2,6150,18483
9782,UT_Utah-Monticello-FO-2019_MSHWMS-302_V12021-09-01,6152,18485
9783,UT_MNFO_LUP_2019_PJ_155_V12022-09-01,6154,18488
9783,UT_MNFO_LUP_2019_PJ_155_V12022-09-01,6155,18489
9300,19032711212154332019-09-01,6167,18565
47038,20144145304218B1,6185,18683
47056,20144145304218B2,6185,18683
47038,20144145304218B1,6186,18682
47056,20144145304218B2,6186,18682
37785,20233213104611B3,6187,18687
37581,2012327200301R2,6188,18693
45818,ID_ShoshoneFOLUP2017_LCM-189_V12021-09-01,6190,18695
46985,16090114022332352016-09-01,6200,18740
46990,16062607202224392016-09-01,6200,18740
46991,OR_OR_MFO_2021_MFO2021-031_V22021-09-01,6200,18740
47027,17052210400555912017-09-01,6200,18740
47079,18060310262030002018-09-01,6200,18740
47091,OR_VADOPAC_2021_CL-060_V12022-09-01,6200,18740
47119,18081313374183092018-09-01,6200,18740
47125,17052310451639262017-09-01,6200,18740
47218,17052310102445692017-09-01,6200,18740
46985,16090114022332352016-09-01,6201,18741
46990,16062607202224392016-09-01,6201,18741
46991,OR_OR_MFO_2021_MFO2021-031_V22021-09-01,6201,18741
47027,17052210400555912017-09-01,6201,18741
47079,18060310262030002018-09-01,6201,18741
47091,OR_VADOPAC_2021_CL-060_V12022-09-01,6201,18741
47119,18081313374183092018-09-01,6201,18741
47125,17052310451639262017-09-01,6201,18741
47218,17052310102445692017-09-01,6201,18741
54274,MT_DFO_LUP_2022_BSC_NR_005_V12022-09-01,6212,18778
54319,MT_DFO_LUP_2022_BSC_NR_009_V12022-09-01,6212,18778
54467,2019301200412B1,6212,18778
54481,2019301200412B2,6212,18778
54489,MT_DFO_LUP_2022_BSC_NR_019_V12022-09-01,6212,18778
