PrimaryKey,ORIG_OID
12052207302216912021-09-01,878
12052207332349192012-09-01,879
12052207361169842012-09-01,880
12052207442195282012-09-01,881
12052207514881042012-09-01,882
12052207552591362012-09-01,883
1205220801265692012-09-01,884
12052208035338412012-09-01,885
12052208143328652012-09-01,886
1205220822119642012-09-01,887
12052208242364262012-09-01,888
12052208272357522012-09-01,889
12052208385243222012-09-01,890
1205220841509012012-09-01,891
12052208442420192012-09-01,892
12052208442420192016-09-01,893
12052208493352492012-09-01,894
12052208493352492016-09-01,895
12052209112346632012-09-01,896
12052209171922602012-09-01,897
12052211172823772012-09-01,898
12052215175813072012-09-01,899
12052307205893992012-09-01,900
12052308534599262012-09-01,901
12052309395623772012-09-01,902
1205231252399702012-09-01,903
12052407270140592012-09-01,904
12052411534682752012-09-01,905
1205290746549112012-09-01,906
12052907553848542012-09-01,907
12052907583994292012-09-01,908
12052908015465282012-09-01,909
12052908045018152012-09-01,910
12052908074011832012-09-01,911
12052908111835342012-09-01,912
12060112352259842012-09-01,913
12060112370738972012-09-01,914
12060112373635502012-09-01,915
12060112390546552012-09-01,916
12060112393183252012-09-01,917
12060112395727892012-09-01,918
12060112402099322012-09-01,919
12060112404516972012-09-01,920
12060112411017012012-09-01,921
12060112413923402012-09-01,922
12060112420467492012-09-01,923
12060512412096252012-09-01,924
12060609271997372012-09-01,925
12061111432015732012-09-01,926
12061208052527082012-09-01,927
12061213164186252012-09-01,928
12061308324384752012-09-01,929
12061310330435262012-09-01,930
12061313265750122012-09-01,931
12061317240152692012-09-01,932
12061407182444322012-09-01,933
12061410224980302012-09-01,934
12061814010143222012-09-01,935
12061814025730352012-09-01,936
12061814034122632012-09-01,937
12061814040444872012-09-01,938
12061814042469452012-09-01,939
12061814044688792012-09-01,940
12061814050222952012-09-01,941
12061814053029452012-09-01,942
12061814054971082012-09-01,943
12061814092015462012-09-01,944
12061814094281702012-09-01,945
12061814100381252012-09-01,946
12061814102237482012-09-01,947
120618141041472012-09-01,948
12061814111295752012-09-01,949
1206181412077932012-09-01,950
12061814122647012012-09-01,951
12061908071550212012-09-01,952
12061915084552542012-09-01,953
1206191602224742012-09-01,954
12062008361095462012-09-01,955
12062008484593742012-09-01,956
12062008492310022012-09-01,957
12062013250298112012-09-01,958
12062015222754042012-09-01,959
12062111574076822012-09-01,960
12062517500448612012-09-01,961
12062608421945212012-09-01,962
12062612172525442012-09-01,963
12062613173223022012-09-01,964
12062707212438562012-09-01,965
1206271108004872012-09-01,966
12062714015760582012-09-01,967
1206271724478692012-09-01,968
12062806221530962012-09-01,969
12062806243658192012-09-01,970
12062806253242572012-09-01,971
12062806260915962012-09-01,972
12062809322065772012-09-01,973
12062810133222722012-09-01,974
12062910404322852012-09-01,975
12062913590065732012-09-01,976
12062915183291082012-09-01,977
12070109055756442012-09-01,978
1207011012146402012-09-01,979
12070112105679262012-09-01,980
12070112113196692012-09-01,981
12070116183681472012-09-01,982
12070208101477212012-09-01,983
12070212395714842012-09-01,984
12070216365981122012-09-01,985
12070216373986162012-09-01,986
12071011522494522012-09-01,987
12071016045012412012-09-01,988
12071017191966422012-09-01,989
12071017321276792012-09-01,990
12071110081211772012-09-01,991
1207121030427132012-09-01,992
